,mean MSL,compound Prob,node Tier,useNode,compoundLevel
14456,0.4771838823899489,0.7129238088836671,2,0,0
14457,0.359494317866958,0.5216782665338069,2,1,0
14458,0.4270010225373532,0.631376661623199,2,1,3
14459,0.2623924298595351,0.3638876985217446,1,0,0
14460,0.44180447202919454,0.6554322670474412,2,0,0
14461,0.35575445350241547,0.5156009869414252,2,1,0
14462,0.5041338717382626,0.75,3,1,0
14463,0.5111087428420673,0.75,3,0,0
14464,0.2721559270205104,0.3797533814083294,1,1,3
14465,0.4527083935801041,0.6731511395676693,2,1,3
14466,0.21631122422138044,0.2890057393597433,0,1,0
14467,0.46768783300033306,0.6974927286255413,2,1,0
14468,0.48429235432303674,0.7244750757749349,2,1,3
14469,0.3666828295210032,0.5333595979716302,2,0,0
14470,0.31820652393911747,0.45458560140106596,1,1,0
14471,0.26992061931124434,0.3761210063807721,1,1,0
14472,0.36128123464566475,0.5245820062992053,2,1,3
14473,0.42378351686361737,0.6261482149033784,2,0,0
14474,0.48809183569559456,0.7306492330053412,2,1,0
14475,0.40888526197523095,0.6019385507097504,2,1,3
14476,0.48446871369361877,0.7247616597521306,2,0,0
14477,0.4288229500571892,0.6343372938429325,2,1,0
14478,0.4295893969094554,0.6355827699778651,2,1,0
14479,0.49275024258163036,0.7382191441951494,2,0,0
14480,0.2950251774681254,0.41691591338570383,1,0,0
14481,0.4796990578865578,0.7170109690656565,2,0,0
14482,0.480646809959456,0.7185510661841161,2,0,0
14483,0.5195081172273647,0.75,3,0,0
14484,0.21874669436182598,0.29296337833796726,0,1,3
14485,0.43823457792207793,0.6496311891233767,2,1,0
14486,0.46933686290183,0.7001724022154739,2,1,3
14487,0.4606573590539081,0.6860682084626007,2,0,0
14488,0.38095762085772117,0.556556133893797,2,1,2
14489,0.23617340403409115,0.32128178155539816,1,0,0
14490,0.4190034540971799,0.6183806129079173,2,0,0
14491,0.25808353508384135,0.3568857445112423,1,1,0
14492,0.2602224059292316,0.36036140963500146,1,0,0
14493,0.5050028771317107,0.75,3,1,1
14494,0.3590466223790578,0.5209507613659691,2,1,2
14495,0.41120211946958285,0.6057034441380722,2,0,0
14496,0.36750951192271225,0.5347029568744075,2,1,0
14497,0.46243507534132533,0.6889569974296538,2,0,0
14498,0.2737293450071698,0.3823101856366509,1,1,0
14499,0.4110747687184308,0.6054964991674502,2,0,0
14500,0.4597217019092019,0.6845477656024532,2,0,0
14501,0.3948167500618481,0.5790772188505032,2,1,0
14502,0.2676262496184371,0.3723926556299604,1,1,0
14503,0.35054104390169394,0.5071291963402528,2,0,0
14504,0.22295534145805887,0.2998024298693457,0,0,0
14505,0.22115000056796932,0.2968687509229502,0,1,2
14506,0.36853934203628486,0.536376430808963,2,0,0
14507,0.2857814183743514,0.4018948048583211,1,1,0
14508,0.20774819768354252,0.2750908212357566,0,1,1
14509,0.2666567741067643,0.37081725792349207,1,1,0
14510,0.22253362522893774,0.29911714099702386,0,1,0
14511,0.48539223562509737,0.7262623828907834,2,0,0
14512,0.46871936747527326,0.6991689721473191,2,0,0
14513,0.5032493964558163,0.75,3,1,0
14514,0.3498866909123184,0.5060658727325175,2,1,0
14515,0.23506613142345054,0.31948246356310717,1,1,0
14516,0.2854682186461082,0.40138585529992593,1,1,0
14517,0.4844125099815666,0.7246703287200458,2,1,0
14518,0.2702331625801735,0.376628889192782,1,1,0
14519,0.40343417536094434,0.5930805349615347,2,1,0
14520,0.23270947802197797,0.31565290178571426,1,1,0
14521,0.36698334960570334,0.533847943109268,2,1,0
14522,0.4763679092234156,0.7115978524880504,2,0,0
14523,0.48118099516224516,0.7194191171386485,2,0,0
14524,0.25893761837121215,0.3582736298532198,1,1,0
14525,0.4747769138396863,0.7090124849894903,2,0,0
14526,0.6337865935137952,0.75,3,0,0
14527,0.4388722186198896,0.6506673552573208,2,1,3
14528,0.37894302359848825,0.5532824133475435,2,1,0
14529,0.23002322469197467,0.31128774012445887,1,1,3
14530,0.221479261297677,0.2974037996087252,0,0,0
14531,0.46390452286769507,0.6913448496600045,2,0,0
14532,0.3819190705128204,0.5581184895833333,2,0,0
14533,0.49386006278239725,0.7400226020213956,2,0,0
14534,0.4864896210873542,0.7280456342669507,2,0,0
14535,0.25701485742220226,0.3551491433110787,1,1,0
14536,0.3888424967159478,0.5693690571634152,2,1,2
14537,0.4703482137075887,0.7018158472748318,2,1,0
14538,0.4087178129806284,0.6016664460935213,2,0,0
14539,0.5104370932886558,0.75,3,0,0
14540,0.22422639098706174,0.30186788535397535,0,1,2
14541,0.20469582802533157,0.2701307205411638,0,1,0
14542,0.254202419200847,0.35057893120137645,1,1,0
14543,0.21687178933575027,0.2899166576705942,0,1,0
14544,0.46862866300366296,0.6990215773809524,2,0,0
14545,0.3964386044831751,0.5817127322851596,2,1,0
14546,0.2667643907990547,0.3709921350484639,1,1,0
14547,0.27892822596031003,0.39075836718550383,1,1,0
14548,0.5193819080190484,0.75,3,0,0
14549,0.42951000477501305,0.6354537577593963,2,1,0
14550,0.43592880588614286,0.6458843095649822,2,0,0
14551,0.4625359101267572,0.6891208539559806,2,1,0
14552,0.2311594961204336,0.31313418119570463,1,0,0
14553,0.4755536519138541,0.7102746843600131,2,1,0
14554,0.39769001831501827,0.5837462797619047,2,0,0
14555,0.2651044449172556,0.3682947229905404,1,1,1
14556,0.23413932918943145,0.31797640993282617,1,0,0
14557,0.20771324805742614,0.2750340280933175,0,1,0
14558,0.47370718532675055,0.7072741761559698,2,1,0
14559,0.21557139493960148,0.28780351677685245,0,0,0
14560,0.39822516459235213,0.5846158924625723,2,1,3
14561,0.4695669718377115,0.7005463292362814,2,1,3
14562,0.46278525935985604,0.6895260464597661,2,1,3
14563,0.34562681803490625,0.4991435793067227,2,1,3
14564,0.42734345665713835,0.6319331170678499,2,1,3
14565,0.2788931941649333,0.3907014405180167,1,1,0
14566,0.46676776991148056,0.695997626106156,2,0,0
14567,0.42547586967126444,0.6288982882158048,2,0,0
14568,0.5394049130773245,0.75,3,1,1
14569,0.4749470328191546,0.7092889283311263,2,1,2
14570,0.23348926333132475,0.31692005291340275,1,1,0
14571,0.4656117810887258,0.6941191442691795,2,0,0
14572,0.23803416773779792,0.3243055225739217,1,0,0
14573,0.49519615922358307,0.7421937587383226,2,1,3
14574,0.4621899736631238,0.6885587072025763,2,0,0
14575,0.4631903303520152,0.6901842868220248,2,1,0
14576,0.43232785079252467,0.6400327575378527,2,1,0
14577,0.24049593870182107,0.32830590039045926,1,1,0
14578,0.20955269573835747,0.2780231305748309,0,1,2
14579,0.4567443915211772,0.679709636221913,2,0,0
14580,0.3522796767757705,0.5099544747606272,2,1,1
14581,0.36969348481684006,0.5382519128273652,2,1,0
14582,0.21232768658810325,0.2825324907056678,0,1,0
14583,0.4697697896139075,0.7008759081225997,2,1,0
14584,0.27048002917221664,0.3770300474048521,1,1,0
14585,0.22460518840727176,0.30248343116181664,0,1,3
14586,0.4637855654450118,0.6911515438481443,2,1,2
14587,0.3781141963280972,0.551935569033158,2,1,0
14588,0.5042721571171599,0.75,3,0,0
14589,0.4541302863286916,0.675461715284124,2,0,0
14590,0.24769536453130203,0.34000496736336583,1,1,0
14591,0.49432514938764943,0.7407783677549304,2,0,0
14592,0.3564120654152374,0.5166696062997609,2,1,0
14593,0.25977907223495456,0.3596409923818012,1,0,0
14594,0.46510595604804045,0.6932971785780658,2,1,0
14595,0.2198762329491496,0.29479887854236814,0,1,2
14596,0.3649321363160649,0.5305147215136056,2,1,3
14597,0.2666710848028783,0.37084051280467734,1,1,3
14598,0.23019757231404958,0.3115710550103306,1,1,0
14599,0.28629118990644475,0.40272318359797277,1,1,2
14600,0.235540316454379,0.32025301423836594,1,0,0
14601,0.22652224825345083,0.30559865341185766,1,1,0
14602,0.41349538742507497,0.6094300045657469,2,0,0
14603,0.40986696810134304,0.6035338231646825,2,1,1
14604,0.22803938576855246,0.30806400187389776,1,0,0
14605,0.45942640238066146,0.684067903868575,2,0,0
14606,0.23525333455757397,0.31978666865605776,1,0,0
14607,0.22505543839638345,0.3032150873941232,1,0,0
14608,0.38047962912704947,0.5557793973314554,2,1,0
14609,0.5084400252525253,0.75,3,0,0
14610,0.4459295001873127,0.6621354378043832,2,0,0
14611,0.43822212701452323,0.6496109563986003,2,1,0
14612,0.45459590275318984,0.6762183419739336,2,1,0
14613,0.2822964311440874,0.39623170060914215,1,0,0
14614,0.45670026229158767,0.67963792622383,2,0,0
14615,0.4594393715659341,0.684088978794643,2,0,0
14616,0.49892579962070094,0.7482544243836391,2,0,0
14617,0.22681763393774385,0.3060786551488338,1,1,3
14618,0.5236739172521964,0.75,3,0,0
14619,0.511212091500015,0.75,3,0,0
14620,0.4866758133082462,0.7283481966259002,2,0,0
14621,0.36770397772598823,0.5350189638047309,2,1,0
14622,0.41771064574436273,0.6162797993345895,2,1,0
14623,0.4067367193818088,0.5984471689954394,2,1,0
